Date,Close,High,Low,Open,Volume,Ticker
2024-10-22,421.6539306640625,424.68185459098345,412.31365056093216,412.75746835174544,25482200,MSFT
2024-10-23,418.7838134765625,425.17503084101816,416.74216121867397,424.9580432083023,19654400,MSFT
2024-10-24,418.91204833984375,420.1449258075998,416.61394788419994,419.5038054447286,13581600,MSFT
2024-10-25,422.2851257324219,426.5952599466425,420.7267820728724,420.91418182997273,16899100,MSFT
2024-10-28,420.74652099609375,426.02324214447043,420.46048501920137,425.7470788183642,14882400,MSFT
2024-10-29,426.0331115722656,427.23640107681365,419.96733089551304,422.1372070838931,17644100,MSFT
2024-10-30,426.60516357421875,432.4933871760131,426.1810609771617,431.4479095602445,29749100,MSFT
2024-10-31,400.7838134765625,410.4594334413064,400.73448031809437,409.6703738017444,53971000,MSFT
2024-11-01,404.74871826171875,409.80845197934053,401.9180365381017,403.40736208449033,24230400,MSFT
2024-11-04,402.8648681640625,404.7980415718176,400.01447130701087,404.18650910637746,19672300,MSFT
2024-11-05,405.8237609863281,409.2166418436789,402.4900558335031,402.7760918050739,17626000,MSFT
2024-11-06,414.4243469238281,414.69066771455005,404.8966664565658,406.77066424480597,26681800,MSFT
2024-11-07,419.6024169921875,421.0029789570154,414.12845339700306,415.5092700597973,19901800,MSFT
2024-11-08,416.75201416015625,420.65776126477715,416.0024150826717,419.4939322441371,16891400,MSFT
2024-11-11,412.2840270996094,418.9908673331369,410.30155083989956,416.7322277720358,24503300,MSFT
2024-11-12,417.2353210449219,418.626010434167,411.48519380527927,412.52079883366196,19401200,MSFT
2024-11-13,419.3755798339844,423.4489813965326,412.4813090867046,415.8643474786666,21502200,MSFT
2024-11-14,421.0424499511719,422.30491523139983,414.24681513135374,419.17832483529844,30246900,MSFT
2024-11-15,409.3153076171875,417.0084507566798,407.9739514183208,414.06929022111444,28247600,MSFT
2024-11-18,410.0649108886719,412.6687324009395,406.4550421174999,409.18708769998454,24727000,MSFT
2024-11-19,412.067138671875,412.215077958307,405.91259346035645,407.4512222383487,18133500,MSFT
2024-11-20,409.798583984375,411.57394553855335,404.9558378403451,411.1596854793811,19191700,MSFT
2024-11-21,408.0295715332031,414.85856338751086,405.47983232208855,414.5818472703372,20780200,MSFT
2024-11-22,412.11114501953125,412.50644943843054,406.2407824115055,406.547145598137,24814600,MSFT
2024-11-25,413.8801574707031,416.14328803070504,409.9863472135053,413.4749606494442,27691100,MSFT
2024-11-26,422.9722900390625,424.0099980685231,413.93946191933657,414.6707766023476,23458900,MSFT
2024-11-27,418.0309143066406,422.22122564388053,417.07228524559736,420.12605489536344,18332400,MSFT
2024-11-29,418.49542236328125,419.8987878079345,412.90177557031507,415.16493646523105,16271900,MSFT
2024-12-02,425.92724609375,427.9235529659965,416.370602899235,416.6275643373692,20207200,MSFT
2024-12-03,426.14471435546875,427.3998142862311,422.72525694948587,424.8006430250728,18302000,MSFT
2024-12-04,432.29180908203125,434.51543063700444,427.5579574158117,427.9532618825141,26009400,MSFT
2024-12-05,437.4307861328125,439.44687793021666,431.0564230401268,432.7859063083414,21697800,MSFT
2024-12-06,438.3696594238281,440.8699968788184,436.5907442566123,437.1145294101148,18821000,MSFT
2024-12-09,440.79095458984375,443.0738702753144,435.3356806411524,437.411066762434,19144400,MSFT
2024-12-10,438.1324768066406,444.3487425824553,436.42277827381423,439.1800773312265,18469500,MSFT
2024-12-11,443.7261047363281,445.0701760009867,438.84401807874156,438.84401807874156,19200200,MSFT
2024-12-12,444.2894287109375,450.81205740820604,443.8446923743848,443.8446923743848,20834800,MSFT
2024-12-13,442.0262756347656,446.13750815775296,440.3560864798084,443.1825720342727,20177800,MSFT
2024-12-16,446.29559326171875,446.87867253224385,440.0595735829624,442.0262333394617,23598800,MSFT
2024-12-17,449.1319885253906,449.9522746519603,444.2993336430134,445.7224537683285,22733500,MSFT
2024-12-18,432.26214599609375,447.3432204529913,431.89645846414146,446.02882636391814,24444500,MSFT
2024-12-19,431.9062805175781,437.9841721873849,431.2046129674818,436.44246396362297,22963700,MSFT
2024-12-20,431.48138427734375,438.5376604876813,423.6048219518138,428.03227991601136,64263700,MSFT
2024-12-23,430.1471862792969,432.51904296318025,427.7555447705133,431.61970806424813,19152500,MSFT
